Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
650500,GLORIETA DE RUFINO NOVALVOS                                    ,GLORIETA                ,DE    ,RUFINO NOVALVOS                                 ,572700,CALLE DE PEDRO DOMINGO                                         ,CALLE                   ,DE    ,PEDRO DOMINGO                                   ,43807267,447106498,3º43'51.24'' W  ,40º23'9.6'' N   
651100,GLORIETA DE RUIZ JIMÉNEZ                                       ,GLORIETA                ,DE    ,RUIZ JIMENEZ                                    ,17200,CALLE DE ALBERTO AGUILERA                                      ,CALLE                   ,DE    ,ALBERTO AGUILERA                                ,44021236,447588300,3º42'22.16'' W  ,40º25'46.41'' N 
651100,GLORIETA DE RUIZ JIMÉNEZ                                       ,GLORIETA                ,DE    ,RUIZ JIMENEZ                                    ,148800,CALLE DE CARRANZA                                              ,CALLE                   ,DE    ,CARRANZA                                        ,44027041,447587508,3º42'19.65'' W  ,40º25'46.16'' N 
651100,GLORIETA DE RUIZ JIMÉNEZ                                       ,GLORIETA                ,DE    ,RUIZ JIMENEZ                                    ,661700,CALLE DE SAN BERNARDO                                          ,CALLE                   ,DE    ,SAN BERNARDO                                    ,44023063,447584824,3º42'21.34'' W  ,40º25'45.28'' N 
660400,GLORIETA DE SAN ANTONIO DE LA FLORIDA                          ,GLORIETA                ,DE    ,SAN ANTONIO DE LA FLORIDA                       ,53200,CALLE DE ANICETO MARINAS                                       ,CALLE                   ,DE    ,ANICETO MARINAS                                 ,43851011,447538193,3º43'34.21'' W  ,40º25'29.71'' N 
660400,GLORIETA DE SAN ANTONIO DE LA FLORIDA                          ,GLORIETA                ,DE    ,SAN ANTONIO DE LA FLORIDA                       ,298900,PASEO DE LA FLORIDA                                            ,PASEO                   ,DE LA ,FLORIDA                                         ,43855240,447538975,3º43'32.39'' W  ,40º25'29.98'' N 
660400,GLORIETA DE SAN ANTONIO DE LA FLORIDA                          ,GLORIETA                ,DE    ,SAN ANTONIO DE LA FLORIDA                       ,305100,CALLE DE FRANCISCO Y JACINTO ALCÁNTARA                         ,CALLE                   ,DE    ,FRANCISCO Y JACINTO ALCANTARA                   ,43857461,447547451,3º43'31.49'' W  ,40º25'32.75'' N 
660400,GLORIETA DE SAN ANTONIO DE LA FLORIDA                          ,GLORIETA                ,DE    ,SAN ANTONIO DE LA FLORIDA                       ,1095,CALLE DE LA SENDA DEL REY                                      ,CALLE                   ,DE LA ,SENDA DEL REY                                   ,43852767,447549856,3º43'33.49'' W  ,40º25'33.51'' N 
660400,GLORIETA DE SAN ANTONIO DE LA FLORIDA                          ,GLORIETA                ,DE    ,SAN ANTONIO DE LA FLORIDA                       ,767200,AVENIDA DE VALLADOLID                                          ,AVENIDA                 ,DE    ,VALLADOLID                                      ,43847682,447547707,3º43'35.65'' W  ,40º25'32.79'' N 
687520,GLORIETA DE SAN VICENTE                                        ,GLORIETA                ,DE    ,SAN VICENTE                                     ,298900,PASEO DE LA FLORIDA                                            ,PASEO                   ,DE LA ,FLORIDA                                         ,43899996,447489232,3º43'13.25'' W  ,40º25'13.95'' N 
687520,GLORIETA DE SAN VICENTE                                        ,GLORIETA                ,DE    ,SAN VICENTE                                     ,603600,AVENIDA DE PORTUGAL                                            ,AVENIDA                 ,DE    ,PORTUGAL                                        ,43889472,447470663,3º43'17.64'' W  ,40º25'7.93'' N  
687520,GLORIETA DE SAN VICENTE                                        ,GLORIETA                ,DE    ,SAN VICENTE                                     ,687515,CUESTA DE SAN VICENTE                                          ,CUESTA                  ,DE    ,SAN VICENTE                                     ,43902893,447485605,3º43'12.01'' W  ,40º25'12.79'' N 
697175,GLORIETA DE SANTA MARÍA DE LA CABEZA                           ,GLORIETA                ,DE    ,SANTA MARIA DE LA CABEZA                        ,262000,CALLE DE EMBAJADORES                                           ,CALLE                   ,DE    ,EMBAJADORES                                     ,44073095,447274312,3º41'59.08'' W  ,40º24'4.71'' N  
